Country;Category;DateTime;Value;Frequency;HistoricalDataSymbol;LastUpdate
United States;Tourism Revenues;2014-11-30T00:00:00;20007;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2014-12-31T00:00:00;20174;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2015-01-31T00:00:00;20217;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2015-02-28T00:00:00;20213;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2015-03-31T00:00:00;20460;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2015-04-30T00:00:00;20522;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2015-05-31T00:00:00;20878;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2015-06-30T00:00:00;21301;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2015-07-31T00:00:00;21050;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2015-08-31T00:00:00;21039;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2015-09-30T00:00:00;20840;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2015-10-31T00:00:00;20822;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2015-11-30T00:00:00;20863;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2015-12-31T00:00:00;20979;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2016-01-31T00:00:00;20699;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2016-02-29T00:00:00;20493;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2016-03-31T00:00:00;20626;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2016-04-30T00:00:00;20272;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2016-05-31T00:00:00;20190;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2016-06-30T00:00:00;20194;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2016-07-31T00:00:00;20517;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2016-08-31T00:00:00;20558;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2016-09-30T00:00:00;20589;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2016-10-31T00:00:00;20576;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2016-11-30T00:00:00;20685;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2016-12-31T00:00:00;20775;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2017-01-31T00:00:00;20701;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2017-02-28T00:00:00;20730;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2017-03-31T00:00:00;20607;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2017-04-30T00:00:00;20731;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2017-05-31T00:00:00;20765;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2017-06-30T00:00:00;20873;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2017-07-31T00:00:00;21087;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2017-08-31T00:00:00;20912;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2017-09-30T00:00:00;21234;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2017-10-31T00:00:00;21124;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2017-11-30T00:00:00;21312;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2017-12-31T00:00:00;21284;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2018-01-31T00:00:00;21157;Monthly;UNITEDSTATOUREV;2018-10-04T14:56:00
United States;Tourism Revenues;2018-02-28T00:00:00;21378;Monthly;UNITEDSTATOUREV;2018-10-04T14:56:00
United States;Tourism Revenues;2018-03-31T00:00:00;21282;Monthly;UNITEDSTATOUREV;2018-10-04T14:57:00
United States;Tourism Revenues;2018-04-30T00:00:00;21417;Monthly;UNITEDSTATOUREV;2019-02-06T16:50:00
